iter	Passed	Remaining
597	41831	237977
598	41894	237870
599	41967	237815
600	42034	237729
601	42098	237627
602	42164	237535
603	42229	237437
604	42291	237321
605	42357	237230
606	42423	237138
607	42486	237030
608	42551	236931
609	42612	236811
610	42683	236747
611	42770	236772
612	42836	236686
613	42898	236570
614	42963	236474
615	43038	236432
616	43106	236354
617	43172	236260
618	43245	236209
619	43318	236157
620	43389	236093
621	43452	235983
622	43521	235912
623	43590	235836
624	43658	235755
625	43722	235653
626	43785	235547
627	43854	235473
628	43919	235378
629	43984	235284
630	44052	235204
631	44116	235103
632	44181	235007
633	44246	234911
634	44313	234828
635	44381	234748
636	44447	234659
637	44542	234722
638	44618	234682
639	44707	234713
640	44828	234914
641	44893	234818
642	44960	234733
643	45029	234657
644	45106	234621
645	45176	234554
646	45247	234488
647	45319	234429
648	45391	234369
649	45455	234272
650	45526	234206
651	45596	234139
652	45669	234082
653	45740	234017
654	45813	233965
655	45882	233889
656	45951	233816
657	46019	233732
658	46092	233677
659	46168	233640
660	46241	233584
661	46309	233505
662	46376	233423
663	46448	233360
664	46518	233290
665	46585	233206
666	46659	233156
667	46726	233073
668	46799	233019
669	46871	232957
670	46975	233056
671	47053	233029
672	47154	233107
673	47248	233158
674	47327	233132
675	47406	233107
676	47481	233058
677	47548	232974
678	47618	232905
679	47683	232809
680	47755	232746
681	47824	232672
682	47889	232574
683	47953	232473
684	47993	232261
685	48060	232174
686	48130	232107
687	48201	232040
688	48272	231972
689	48341	231900
690	48402	231784
691	48482	231761
692	48554	231701
693	48627	231645
694	48702	231599
695	48775	231543
696	48844	231467
697	48918	231416
698	49016	231480
699	49144	231682
700	49214	231612
701	49285	231542
702	49351	231455
703	49418	231369
704	49490	231305
705	49557	231221
706	49619	231115
707	49691	231053
708	49767	231005
709	49845	230973
710	49919	230920
711	49993	230866
712	50062	230793
713	50131	230717
714	50197	230629
715	50273	230582
716	50375	230658
717	50464	230673
718	50535	230609
719	50599	230510
720	50662	230406
721	50739	230367
722	50814	230317
723	50880	230228
724	50956	230183
725	51029	230122
726	51099	230053
727	51172	229994
728	51275	230073
729	51345	229997
730	51411	229910
